County,heart,medcare_full_cov_amt,Population,CrimeRatePer100K,state,Max AQI
2013_ca_imperial,277.45,22829.0,39527,3068.7883,ca,207
2014_ca_imperial,245.95000000000002,23764.0,25695,4557.3066,ca,359
2010_ca_kern,411.13125,88111.0,53041,4585.1323,ca,202
2011_ca_kern,408.18125,90345.0,320697,734.338,ca,200
2012_ca_kern,394.88750000000005,92719.0,9552,23785.594,ca,202
2013_ca_kern,396.83750000000003,95145.0,361859,643.0682,ca,218
2014_ca_kern,376.375,97349.0,8895,25812.254,ca,307
2010_ca_kings,254.16666666666666,12835.0,34166,3222.502,ca,208
2011_ca_kings,253.29166666666666,13187.0,54601,1950.5138,ca,185
2012_ca_kings,238.97500000000002,13565.0,25119,4395.079,ca,172
2013_ca_kings,253.36666666666667,13950.0,34027,3156.3171,ca,189
2014_ca_kings,220.11666666666667,14352.0,23057,4874.8755,ca,172
2010_ca_lake,172.95,13861.0,4753,12413.213,ca,74
2011_ca_lake,175.62,14251.0,45187,1263.6377,ca,54
2012_ca_lake,171.8,14596.0,15311,4127.7515,ca,143
2013_ca_lake,172.75,15051.0,44191,1382.6345,ca,80
2014_ca_lake,167.7,15461.0,44313,1358.5178,ca,93
2010_ca_los angeles,274.39375,1050366.0,14254,142696.78,ca,200
2011_ca_los angeles,272.5,1083641.0,95506,20308.672,ca,218
2012_ca_los angeles,268.4625,1122270.0,27850,68150.805,ca,207
2013_ca_los angeles,260.83125,1159141.0,48524,38970.406,ca,197
2014_ca_los angeles,244.20625,1198286.0,63737,29604.467,ca,205
2010_ca_madera,377.11538461538464,18464.0,18720,3493.5898,ca,201
2011_ca_madera,393.84615384615387,18963.0,62138,997.7792,ca,179
2012_ca_madera,388.7692307692308,19444.0,62796,1028.7279,ca,200
2013_ca_madera,398.0153846153846,19943.0,62973,1081.4158,ca,190
2014_ca_madera,332.62307692307695,20396.0,72970,901.7404,ca,179
2010_ca_marin,166.06363636363636,41858.0,13903,11019.204,ca,128
2011_ca_marin,215.94545454545457,43584.0,68222,2166.4565,ca,117
2012_ca_marin,193.03636363636363,45305.0,68721,2160.9114,ca,81
2013_ca_marin,192.21818181818182,47096.0,68325,2010.9769,ca,124
2014_ca_marin,182.96363636363637,48630.0,14411,9353.966,ca,107
2010_ca_mariposa,237.15,3967.0,18251,1139.6636,ca,187
2011_ca_mariposa,234.8875,4005.0,18466,1093.9023,ca,150
2012_ca_mariposa,212.51428571428573,4146.0,18360,1051.1982,ca,166
2013_ca_mariposa,254.6,4189.0,17815,1094.5833,ca,230
2014_ca_mariposa,245.0875,4265.0,17729,1004.00476,ca,153
2010_ca_mendocino,163.06363636363636,16533.0,4888,17635.025,ca,72
2011_ca_mendocino,160.93636363636364,17136.0,60306,1341.4917,ca,80
2012_ca_mendocino,163.63636363636363,17898.0,16172,5237.4473,ca,77
2013_ca_mendocino,172.1,18545.0,15874,5367.267,ca,79
2014_ca_mendocino,175.9,19247.0,59639,1359.8484,ca,95
2010_ca_merced,459.84000000000003,26778.0,89167,1758.4982,ca,177
2011_ca_merced,440.06666666666666,27720.0,13212,10921.89,ca,155
2012_ca_merced,439.82666666666665,28765.0,91408,1575.3545,ca,151
2013_ca_merced,461.0266666666667,29748.0,5071,27627.686,ca,164
2014_ca_merced,411.26666666666665,30611.0,28961,4999.827,ca,156
2010_ca_monterey,227.7866666666667,46927.0,3722,63594.844,ca,100
2011_ca_monterey,214.82,48259.0,16522,14417.141,ca,77
2012_ca_monterey,205.43333333333334,49891.0,28508,7980.2163,ca,84
2013_ca_monterey,225.6,51442.0,20426,10589.444,ca,96
2014_ca_monterey,199.92666666666668,52915.0,156908,1344.737,ca,100
2010_ca_napa,246.15,21851.0,19454,4600.596,ca,159
2011_ca_napa,267.47499999999997,22532.0,77819,1138.5394,ca,120
2012_ca_napa,266.48333333333335,23232.0,19873,4402.959,ca,84
2013_ca_napa,263.69166666666666,23945.0,5934,14981.462,ca,119
2014_ca_napa,220.96666666666667,24519.0,20379,4288.7285,ca,88
2010_ca_nevada,228.9888888888889,21146.0,3068,22913.951,ca,154
2011_ca_nevada,207.27777777777777,21932.0,67440,1036.4769,ca,154
2012_ca_nevada,200.67777777777778,22785.0,12959,5347.635,ca,164
2013_ca_nevada,196.11111111111111,23577.0,12792,5425.2656,ca,140
2014_ca_nevada,180.01111111111112,24563.0,66610,1083.9214,ca,163
2010_ca_orange,218.03125,352487.0,324528,2663.2524,ca,177
2011_ca_orange,208.38750000000002,366256.0,64269,12916.025,ca,143
2012_ca_orange,211.49375,381027.0,87286,9402.424,ca,147
2013_ca_orange,212.2875,394384.0,39128,20698.732,ca,143
2014_ca_orange,200.025,407540.0,87759,8924.441,ca,156
2010_ca_placer,233.89285714285714,56141.0,13330,8979.745,ca,200
2011_ca_placer,226.62857142857143,58730.0,117891,961.9055,ca,172
2012_ca_placer,223.69285714285712,61617.0,120524,960.8045,ca,166
2013_ca_placer,228.42142857142858,64301.0,59621,1927.1733,ca,161
2014_ca_placer,205.59285714285716,67016.0,60371,1906.5446,ca,240
2010_ca_plumas,263.5375,4939.0,20007,994.65186,ca,110
2011_ca_plumas,252.15,5063.0,20242,988.0447,ca,153
2012_ca_plumas,245.9,5213.0,19948,1002.60675,ca,124
2013_ca_plumas,260.5375,5288.0,2008,9213.147,ca,162
2014_ca_plumas,235.9125,5369.0,18708,956.8099,ca,156
2010_ca_riverside,313.4625,257010.0,36877,16598.422,ca,217
2011_ca_riverside,318.9,266360.0,79582,7944.0073,ca,320
2012_ca_riverside,316.94375,276817.0,70616,9128.243,ca,233
2013_ca_riverside,329.01875,287226.0,56232,11406.316,ca,455
2014_ca_riverside,316.66875,297381.0,84540,7517.1514,ca,537
2010_ca_sacramento,335.65,169709.0,554554,373.8139,ca,207
2011_ca_sacramento,331.475,176729.0,84280,2371.8557,ca,182
2012_ca_sacramento,328.1,184170.0,821,239098.67,ca,201
2013_ca_sacramento,311.60625,191834.0,67634,2970.3994,ca,154
2014_ca_sacramento,320.93125000000003,199829.0,482767,418.00705,ca,147
2010_ca_san benito,221.6090909090909,5676.0,20341,2054.963,ca,126
2011_ca_san benito,201.3909090909091,5928.0,35339,1146.0426,ca,108
2012_ca_san benito,212.52727272727273,6157.0,35766,1056.8696,ca,133
2013_ca_san benito,216.52727272727273,6456.0,20988,1815.323,ca,112
2014_ca_san benito,199.9181818181818,6740.0,36967,1092.8666,ca,115
2010_ca_san bernardino,371.6375,197667.0,20700,33033.816,ca,219
2011_ca_san bernardino,363.89375,205282.0,37095,18072.518,ca,233
2012_ca_san bernardino,362.3625,214665.0,70399,9487.351,ca,207
2013_ca_san bernardino,373.4375,223620.0,214322,3056.1492,ca,218
2014_ca_san bernardino,343.30625,232257.0,23349,28313.846,ca,201
2010_ca_san diego,270.475,361690.0,83781,5995.3926,ca,181
2011_ca_san diego,272.5625,372586.0,13018,37701.64,ca,169
2012_ca_san diego,273.69375,385921.0,171141,2764.9714,ca,165
2013_ca_san diego,284.95625,399613.0,96712,4901.15,ca,617
2014_ca_san diego,261.20625,413501.0,518253,903.8056,ca,165
2010_ca_san francisco,268.6714285714286,111635.0,805235,47.067005,ca,125
2011_ca_san francisco,258.65714285714284,113542.0,814701,46.520134,ca,131
